,clientid,museum_id,museum_list,features
10,ysuziqrpem,"['6c17c8de-2dd0-4670-b55d-402b84e26787', '86ce2124-88f3-4fce-b174-20b61d0bdaaa', '783538c2-21d3-4a79-9830-01b9ae3812b9', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '92a87b6a-4b73-4d77-a81b-4d4501893c4e', 'a4e7ffe9-fe8a-4e22-9517-739881f87bfb']","['Historisch Museum De Bevelanden', 'Stadskasteel Zaltbommel', 'Design Museum Den Bosch', 'Joods Historisch Museum', 'NEMO Science Museum', 'Museum Speelklok', 'Veiligheidsmuseum PIT', 'Belasting & Douane Museum', 'Elisabeth Weeshuis Museum', ""Museum 't Behouden Huys""]","['local history war', 'tech']"
11,xyvpfandsh,"['9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '4f05881b-f742-480c-b13d-91d99c6fc4a2', '9ad52af8-ef66-4266-b413-0e1a57995f50', '11b71518-57ec-4ec4-ace1-9f24f68e67b9', '02d25c0f-f4db-4d00-a056-c35ee076964e', '46f074e4-5e2b-46f4-a279-85a0ae2c0026', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', 'b9fa7554-70fd-4a40-8515-55ff3895e129', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5']","['Mariniersmuseum', 'Zeeuws Maritiem MuZEEum', 'Veenkoloniaal Museum', 'Nationaal Reddingmuseum Dorus Rijkers', 'Visserijmuseum Breskens', 'Museum Vlaardingen', ""Museum In 't Houten Huis"", 'Rijksmuseum Amsterdam', 't Fiskershúske', 'Belasting & Douane Museum']","['nature tech', 'naval']"
12,yfwrsgpanc,"['f82c9249-ae42-4690-bcbc-9db3f55db2d0', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', 'd9c3694b-8999-46e7-9264-66e2ca190c86', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '92a87b6a-4b73-4d77-a81b-4d4501893c4e', '4cb403ef-21c9-4731-86a2-f9f32bd44487', '4b596778-4379-48da-a946-0d04e39e3cea', '54f9204e-e6fd-4ea3-a352-84484292b8ba', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5']","['Natuurmuseum Fryslân', 'Belasting & Douane Museum', 'Zeeuws Maritiem MuZEEum', 'Veiligheidsmuseum PIT', 'NEMO Science Museum', 'Elisabeth Weeshuis Museum', 'Brabants Museum Oud Oosterhout', 'Museum Het Pakhuis', 'PreHistorisch Dorp', 'Beeld en Geluid Den Haag']","['children', 'parking']"
13,ascwdnjypq,"['59402691-8308-4222-bc19-7cc9f20e1d88', '17aed04d-9186-4452-b263-0de3dfe7f6f2', '9f88e8ae-c589-427e-becb-1e071b215cd1', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', '3b3c0cbf-7176-4d16-bc60-89eeeb679a76', '30f51fcc-b373-4b85-9ba0-40d958542540', '1f8bb764-3a9f-4159-b775-829e80c953a2', 'c2219eac-c939-49f6-ba34-325d739caf9b', 'd0bf039f-cc00-4511-bb91-94ac191a3c67']","['Kasteel Heeswijk', 'Slot Zuylen', 'Kasteel Keukenhof', 'Kasteel Amerongen', 'Kasteel Huis Bergh', 'Kasteel Radboud', 'Kasteel Doornenburg', 'Rijksmuseum Muiderslot', 'Kasteel Rosendael', 'Kasteel Hoensbroek']","['castles', 'restaurant']"
14,lsbprnivhd,"['9231914a-1dac-4afe-b28a-cc37ee7c5bfd', '9bcb7330-2cae-44b4-9fca-9f6e1c4501e5', '1a918684-33d5-485a-80b7-90a8086803ef', 'd6dceab9-27ce-41aa-9be2-9e5189ba51f0', '1cf7d97e-57d6-4550-be98-8d19ea5ac3a5', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', 'a001e606-6873-4420-92be-8c458691bf35', 'd393d962-7ee9-411b-8c60-c0879d6e3fd7', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', 'd183dcdd-900b-4721-b8a0-c44912e8ce7f']","['Streek & Landbouwmuseum Goemanszorg', 'Natuurcentrum Ameland', 'Buitenplaats Kasteel Wijlre', 'Muzeeaquarium Delfzijl', 'Pieter Vermeulen Museum', 'Natuurmuseum Fryslân', 'Natuurmuseum Brabant', 'Micropia', 'Museon', 'Fruitteeltmuseum']","['library', 'gardens']"
15,dzpitowkby,"['d7f027c1-49fa-4fa8-a661-43598ed47263', '9ad52af8-ef66-4266-b413-0e1a57995f50', 'c79c20d2-9c0c-4a88-823b-6f7842a46562', '02d25c0f-f4db-4d00-a056-c35ee076964e', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '971a3945-faba-4021-8d5b-5b6fcd124640', 'f61643e5-0237-4536-90ef-d3e8f721de21', '9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '1335f2de-05b0-4351-8cae-1cb1263b3791']","['Kunsthal  Rotterdam', 'Nationaal Reddingmuseum Dorus Rijkers', 'Museum Beelden aan Zee', 'Museum Vlaardingen', 'Rijksmuseum Amsterdam', 'Zuiderzeemuseum', 'Biesbosch MuseumEiland', 'Mariniersmuseum', 'Zeeuws Maritiem MuZEEum', 'Het Scheepvaartmuseum']","['exhibition', 'weelchair']"
16,hgutpbnxoe,"['54f9204e-e6fd-4ea3-a352-84484292b8ba', 'ddcb0195-4e2a-4be5-9e42-97c34308367c', '1f85673a-ba18-4aaf-821a-baf56c7efea7', '2fc39c27-ca42-462c-b8a5-6b8fdb927961', '60dcdaf1-a16f-4a63-877b-1734d0e74d8d', 'd280a91d-ebc1-4607-afb9-e38a67c862d0', '01ab8bee-401f-4c85-a742-c2198fbcef28', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', 'd579493e-5364-4327-b712-d231508db640']","['PreHistorisch Dorp', 'Cobra Museum voor Moderne Kunst', 'Hermitage Amsterdam', 'Van Abbemuseum', 'Kunstmuseum Den Haag', 'Wereldmuseum Rotterdam', 'Stedelijk Museum Amsterdam', 'Joods Historisch Museum', 'Rijksmuseum Amsterdam', 'Portrait Gallery of the 17th Century']","['visual', 'restaurant']"
17,qrnjubgvts,"['69295701-69e0-47c2-89c5-1586e4f3f64a', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', '1f01f088-0457-4040-af17-9d1a561bdb5e', 'b1d4586f-c77c-43f7-bb72-649f1af68575', '424e8423-e43b-48e8-ad19-821014020860', 'd9c3694b-8999-46e7-9264-66e2ca190c86', '64c5b44f-cb1a-4746-83f7-431c4f7050f9', 'f64adebc-d16c-4e0d-8c2a-ab0e2f0f28ba', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '20dd4b53-05a1-4fd1-9ff7-4d936ac4afee']","['Nationaal Baggermuseum', 'Museum Speelklok', 'De Halve Maen', 'Philips Museum', 'Comenius Museum', 'Veiligheidsmuseum PIT', 'Flessenscheepjesmuseum', 'Rijksmuseum Boerhaave', 'Belasting & Douane Museum', 'Oorlogsmuseum Overloon']","['parking', 'military']"
18,pqlfaiyvbm,"['77dc3244-2ab9-4340-bb76-d29401097a09', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '86530fe9-05f8-4d04-8aae-1a59202425e8', 'cc12b367-a374-4c8a-bd04-8b24e412af3c', 'f61643e5-0237-4536-90ef-d3e8f721de21', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', 'ba678427-5609-42b1-91e2-fd5c845d42c6', '7a2966b5-97fa-4cd3-9408-9e415182ca4e', '1335f2de-05b0-4351-8cae-1cb1263b3791']","['Museum Kaap Skil', 'Rijksmuseum Amsterdam', 'Feyenoord Museum', 'Nederlands Openluchtmuseum', 'Biesbosch MuseumEiland', 'Zeeuws Maritiem MuZEEum', 'Mariniersmuseum', 'Historische Tuin Aalsmeer', 'Batavialand', 'Het Scheepvaartmuseum']","['naval', 'openair']"
19,vusrfzmpcb,"['1259b27a-48fb-48d4-adbb-31329be57921', 'd277832b-8ab5-466d-ad2d-58a8f409f7cb', '078fe561-4a1d-4712-b204-11913bdd57b4', '471dcd8a-6a1b-44aa-b073-0f024f72dde3', '7e8f969b-8f8b-4950-8028-f80b4a19c0db', 'b95305d9-cc57-498c-8819-c1983713d181', 'fb5c119f-f4a1-411c-a943-f609fcb5f5f3', '56518036-a7ca-43fe-b010-2ddfcec6aca3', '2fc39c27-ca42-462c-b8a5-6b8fdb927961', 'd7f027c1-49fa-4fa8-a661-43598ed47263']","['Stadsmuseum Harderwijk', 'Museum de Fundatie', 'Kunstvereniging Diepenheim', 'Rijksmuseum Twenthe', 'Museum Krona', 'Keramiekcentrum Tiendschuur Tegelen', 'Museum Swaensteyn', 'Mauritshuis', 'Van Abbemuseum', 'Kunsthal  Rotterdam']","['weelchair', 'castles cluster']"
20,ogdrkfepzh,"['49ad034f-9424-4d89-aab5-8df3c2112ff4', '3f1b3299-65f6-47c7-a507-56346cab0a5e', 'eba73114-b030-49d1-9108-e60ea8670b3a', 'c40020e4-d23b-4607-9145-7aa020866c04', 'addebae4-6756-4fe4-b59c-1aac2d80ab8e', 'e16ae770-865f-47d5-99ff-6ae6fc094217', 'd545be8a-48d2-4af9-862d-d26a821787e0', 'bffa1b0e-67c1-4bd4-bfbf-b35c436a2663', '52dd62eb-5226-478b-97bf-2e3c5a4cd1d5', '179e0120-23f9-434b-804b-172effcfc85d']","['Markiezenhof', 'Museum Stedhûs Sleat', 'Museum Het Schip', ""Huygens' Hofwijck"", 'Museum Paulina Bisdom van Vliet', 'Weegschaal Museum Naarden', 'Paleis Het Loo', 'De Oude Kerk', 'Titus Brandsma Museum', 'De Nieuwe Kerk']","['parking', 'churches']"
21,fvcjlushnq,"['92652b8f-7600-4bee-8640-1c40b21a32cf', 'd579493e-5364-4327-b712-d231508db640', 'd545be8a-48d2-4af9-862d-d26a821787e0', '49ad034f-9424-4d89-aab5-8df3c2112ff4', 'eba73114-b030-49d1-9108-e60ea8670b3a', '1f85673a-ba18-4aaf-821a-baf56c7efea7', '57f29a3f-4202-40b7-b70c-26e1058ff6e1', 'bbcc349c-6f7e-4416-a6f9-1954997e54e6', 'c40020e4-d23b-4607-9145-7aa020866c04', '7a6bb20e-440e-428d-a735-e417b43aa8a9']","['Museum Van Loon', 'Portrait Gallery of the 17th Century', 'Paleis Het Loo', 'Markiezenhof', 'Museum Het Schip', 'Hermitage Amsterdam', 'Edams Museum', 'Stadsmuseum Groenlo', ""Huygens' Hofwijck"", 'Museum Willet-Holthuysen']","['historical', 'culture']"
22,lfcgqzexhj,"['53226f07-3c00-42a5-8bae-ff4c6cfa9747', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '60780e37-d503-4b56-b1d5-a46c2358eb41', '832cd1d6-c933-4279-8ae6-1e3fa38853a2', 'a2040f47-849b-4ca6-967e-adee1ee5a930', 'b5f1962b-3709-4476-a8c7-6209ca198c7d', '621c0554-f8d1-454c-9218-e60683a536ee', 'e9ad0209-89ad-4e53-a353-b7328562f8e6', '2725e4ae-3118-48ba-85d9-9b6b646fb7ab', '682197a8-0359-4094-8281-ffa059de480f']","['Museum Nienoord, Borg en Nationaal Rijtuigmuseum', 'Joods Historisch Museum', 'Streekmuseum Etten Leur', 'Museum de Kantfabriek', 'TextielMuseum', 'Museum Veenendaal', 'mij | museum ijsselstein', 'Universiteitsmuseum Groningen', 'Heiligenbeeldenmuseum', 'Museum Catharijneconvent']","['weelchair', 'culture']"
23,njspfxblge,"['a42cba4d-03ab-449a-8fb5-a24fb363afa5', 'f61643e5-0237-4536-90ef-d3e8f721de21', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '971a3945-faba-4021-8d5b-5b6fcd124640', '1335f2de-05b0-4351-8cae-1cb1263b3791', '9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', '77dc3244-2ab9-4340-bb76-d29401097a09', '69295701-69e0-47c2-89c5-1586e4f3f64a', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', 'b8038372-8f48-4fcc-84ae-8f2cc86b3a69']","['Belasting & Douane Museum', 'Biesbosch MuseumEiland', 'Rijksmuseum Amsterdam', 'Zuiderzeemuseum', 'Het Scheepvaartmuseum', 'Mariniersmuseum', 'Museum Kaap Skil', 'Nationaal Baggermuseum', 'Zeeuws Maritiem MuZEEum', 'Geniemuseum']","['military', 'parking']"
24,zbphaqktes,"['ebd8da56-bf8c-4233-9adb-792ddd85452c', 'e16ae770-865f-47d5-99ff-6ae6fc094217', '7a6bb20e-440e-428d-a735-e417b43aa8a9', '49ad034f-9424-4d89-aab5-8df3c2112ff4', '92652b8f-7600-4bee-8640-1c40b21a32cf', '179e0120-23f9-434b-804b-172effcfc85d', 'eba73114-b030-49d1-9108-e60ea8670b3a', 'aa8279d3-78cf-4af8-8f83-24dd44caabd6', 'd545be8a-48d2-4af9-862d-d26a821787e0', 'd579493e-5364-4327-b712-d231508db640']","['Stadsarchief Amsterdam', 'Weegschaal Museum Naarden', 'Museum Willet-Holthuysen', 'Markiezenhof', 'Museum Van Loon', 'De Nieuwe Kerk', 'Museum Het Schip', 'Amsterdam Museum', 'Paleis Het Loo', 'Portrait Gallery of the 17th Century']","['trainstation', 'historical']"
25,jwanigsruo,"['4b596778-4379-48da-a946-0d04e39e3cea', 'd1e42c4d-d176-4833-98a8-a3fb4a725b91', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5', '43342fe3-e57f-4b74-883f-207d1cf0a24b', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '4cb403ef-21c9-4731-86a2-f9f32bd44487', 'd0077c9a-8102-4749-ba85-fe2e8b3ef53d', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', 'd9c3694b-8999-46e7-9264-66e2ca190c86']","['Museum Het Pakhuis', 'Museumpark Archeon', 'Beeld en Geluid Den Haag', 'De Bastei', 'NEMO Science Museum', 'Brabants Museum Oud Oosterhout', 'GeoFort', 'Belasting & Douane Museum', 'Zeeuws Maritiem MuZEEum', 'Veiligheidsmuseum PIT']","['weelchair', 'children']"
26,ctuanwfmxj,"['cda45f48-2deb-4062-bd6f-ad4da92c8114', '47f27c2b-3056-4529-ae95-9ba9d4a59902', '5a140fbe-2efc-42e1-ad57-c01ac3a7b409', 'b280cbea-0bd7-47c1-a827-91cd7d305cbb', 'ac63eec9-a130-4e9c-b378-e23e076865dc', '92f68db4-1a4e-4847-990b-9710c4696e9a', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', '15d80092-895b-45cb-aad9-b1b470cfc177', '1d9c7610-ab17-4f68-ae48-9cefefc32b20', 'c92918d5-cb45-432d-9874-7b54289beb09']","['Museummolen en molenwinkel De Walvisch', 'Nationaal Brandweermuseum', 'Observeum Burgum', 'Nationaal Modelspoor Museum', 'Nationaal Militair Museum', 'Beeld en Geluid', 'Museum Speelklok', 'Space Expo', 'Continium discovery center', 'Nederlands Stoommachinemuseum']","['visual historical art', 'tech']"
27,bprdwecnsi,"['eb12d0f0-4e38-4bcf-9848-0295d05335a1', '3f96c8bc-3397-4d76-a48a-ee33ca65a8bb', 'af698204-4437-411f-a1a9-d5a0fe7d16bb', '5adfb94f-9e56-40b1-a93e-766264de3f02', 'f9453fa1-3fe4-4c3e-a980-174ddae906fc', 'abd0504d-1106-44ee-8c62-3cc937d5fd9a', 'df6d2369-9846-49ae-9a5d-ca40a6e310b8', '1cf7d97e-57d6-4550-be98-8d19ea5ac3a5', 'dffe8ae8-e39f-49d2-a41b-004775a406a8', 'c5ad38ca-1303-43d2-adee-04bb0e3268f6']","['Kasteelruïne - Fluweelengrot Valkenburg', 'Sint Jan Gouda', 'Museum Veere', 'Zwanenbroedershuis', 'Embassy of the Free Mind', 'Stedelijk Museum Breda', 'Huis van het boek', 'Pieter Vermeulen Museum', 'Portugese Synagoge Amsterdam', 'Stedelijk Museum Alkmaar']","['architectonic', 'disabled']"
28,zabgliqofd,"['9c4bddf8-9bef-46cb-a2ef-5f13ba85884f', '9afcd6a2-85e3-4c7c-9f82-887076f83a68', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2', '41a0a29c-a655-4f51-979c-7fa624b303ea', 'cc12b367-a374-4c8a-bd04-8b24e412af3c', '2dc0d96e-fbe8-41de-b1db-36094539f0ce', '5248e557-c948-4103-813a-8ffb30305466', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', 'ddc06b8b-9dd1-4768-be15-75477b0f104a', '1de93dee-f6b5-4a1c-8d7f-e896df26a694']","['Nederlands Watermuseum', 'Slot Loevestein', 'Kamp Westerbork', 'Tongerlohuys', 'Nederlands Openluchtmuseum', 'Libertum', 'Nederlands Tegelmuseum', 'Belasting & Douane Museum', 'Spoorwegmuseum', 'Literatuurmuseum']","['discovery anthropology', 'library']"
29,nyufbkdotm,"['ad5b634c-e784-4755-ae75-8748507fa437', '8fae9e9b-5c62-477b-9ccc-d9d3ec1d695c', 'c96d0dd3-36c3-4b3c-b3ea-d11ca9840207', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', '029464f3-265b-4b69-a71d-cdd346b53c34', '3d1a28ab-20dd-4d49-a6c1-23f504ec9472', 'aa54b14e-fe16-4424-9be9-ca9d8ef84fa7', '60780e37-d503-4b56-b1d5-a46c2358eb41', 'c4cc477e-1442-4ef9-96ea-539e46356b07', '2725e4ae-3118-48ba-85d9-9b6b646fb7ab']","['Museum Bronbeek', 'Nederlands Zilvermuseum', 'Museum De Zwarte Tulp', 'Natuurmuseum Fryslân', 'Tropenmuseum Junior', 'Tropenmuseum', 'Van Gogh Museum', 'Streekmuseum Etten Leur', 'Louis Couperus Museum', 'Heiligenbeeldenmuseum']","['national speciality', 'scavenger']"
